place
Taipei 101
National Palace Museum
Chiang Kai-shek Memorial Hall
Beitou Hot Springs
Shilin Night Market
Elephant Mountain
Yangmingshan National Park
Tamsui Fisherman's Wharf
Jiufen Old Street
Yehliu Geopark
Wulai Waterfall
Shilin Night Market
Raohe Night Market
Ningxia Night Market
Huaxi Street Night Market
Ximending Shopping District
Taipei Main Station Underground Mall
Miramar Entertainment Park
Taipei 101 Mall
Breeze Center Taipei Station Branch
Linkou Mitsui Outlet Park
